note_id,tfidf_alphafold,tfidf_alphafold2,tfidf_alphafold3,tfidf_amber,tfidf_cnn,tfidf_gromacs,tfidf_md模拟,tfidf_protocol,tfidf_transformer,tfidf_troubleshooting,tfidf_中间体,tfidf_临床,tfidf_代码,tfidf_优化,tfidf_催化效率,tfidf_催化机制,tfidf_创新,tfidf_创新 创新,tfidf_创新 发表,tfidf_力场,tfidf_动力学,tfidf_原理,tfidf_发表,tfidf_发表 创新,tfidf_发表 发表,tfidf_发表 影响因子,tfidf_实例,tfidf_实现,tfidf_展望,tfidf_工具,tfidf_工具 工具,tfidf_工具 操作,tfidf_工具 教程,tfidf_工具 步骤,tfidf_工具 软件,tfidf_应用,tfidf_底物结合,tfidf_影响因子,tfidf_影响因子 创新,tfidf_影响因子 影响因子,tfidf_性能,tfidf_成功,tfidf_技巧,tfidf_折叠机制,tfidf_挑战,tfidf_操作,tfidf_操作 工具,tfidf_操作 操作,tfidf_操作 步骤,tfidf_操作 软件,tfidf_教程,tfidf_教程 工具,tfidf_教程 操作,tfidf_教程 教程,tfidf_教程 步骤,tfidf_教程 软件,tfidf_方法学,tfidf_最新研究,tfidf_最新研究 影响因子,tfidf_期刊,tfidf_机遇,tfidf_标准化,tfidf_案例研究,tfidf_模型训练,tfidf_模拟时间,tfidf_步骤,tfidf_步骤 工具,tfidf_步骤 操作,tfidf_步骤 教程,tfidf_步骤 步骤,tfidf_步骤 软件,tfidf_注意力机制,tfidf_活性位点,tfidf_深度学习,tfidf_深度学习 深度学习,tfidf_深度学习 神经网络,tfidf_热力学,tfidf_特征工程,tfidf_神经网络,tfidf_神经网络 深度学习,tfidf_神经网络 神经网络,tfidf_端到端,tfidf_算法,tfidf_经典,tfidf_经验,tfidf_结构预测,tfidf_结构预测 神经网络,tfidf_综述,tfidf_蛋白质折叠,tfidf_表征学习,tfidf_软件,tfidf_软件 工具,tfidf_软件 教程,tfidf_软件 步骤,tfidf_软件 软件,tfidf_进展,tfidf_酶工程,tfidf_错误折叠,tfidf_预测精度,tfidf_验证
note_0001,0.20995757222360995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23461769162245727,0.02331854626695807,0.02331854626695807,0.0,0.0,0.0,0.2457899626520981,0.04715794330098353,0.01153262836537677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16758406544461235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2793067757410206,0.012061461025093268,0.23461769162245727,0.0,0.0,0.0,0.3291264415165631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3620492222304361,0.05263128553682017,0.07163960127064307,0.0,0.2151980579146759,0.3871427469100513,0.07298795112306011,0.05918763989926227,0.0,0.0,0.0,0.0,0.31578771322092103,0.06703362617784495,0.0,0.25935935392328285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22785676720377446,0.0
note_0002,0.3501614906330384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28156242812117876,0.06121579274409321,0.0,0.0,0.0,0.0,0.32848949947470857,0.061899460847635736,0.012110171530030814,0.05066195052471503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36368480298985595,0.013128096799875576,0.025629689449330507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28156242812117876,0.025330975262357516,0.22290358892926654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2568785852869726,0.01105340214743145,0.03224024786436535,0.0,0.0,0.2439182945891204,0.021898033988490197,0.04439407224992889,0.0,0.0,0.0,0.0,0.32054866227551204,0.046927071353529796,0.0,0.427975155218158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
note_0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29294237632214076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5124922013846975,0.0,0.0,0.0,0.0,0.6094501854304512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36012965502708477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3878319361830143
note_0004,0.0,0.0,0.0,0.0,0.2261360736274274,0.0,0.0,0.0,0.35535668712881446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2859734543355277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26309557798868544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14870619625447437,0.0,0.0,0.23166470095805552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2261360736274274,0.0,0.1479319895890922,0.008375612495209937,0.024429747444246648,0.0,0.18130280944543478,0.29572290431078496,0.024889546853746343,0.026911355710416165,0.0,0.0,0.0,0.0,0.0,0.0,0.26309557798868544,0.0,0.3230515337534677,0.0,0.0,0.0,0.0,0.0,0.320290268855791,0.0,0.0,0.35253324058834534,0.0
note_0005,0.0,0.0,0.0,0.2910318483739195,0.0,0.3395371564362394,0.2910318483739195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2910318483739195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2497839132334637,0.01045789630197988,0.03175095963285199,0.04183158520791952,0.04134403782698544,0.021167306421901327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37967154811486487,0.010986815472795536,0.03175095963285199,0.02197363094559107,0.03175095963285199,0.2697666262921408,0.053567670122136035,0.021167306421901327,0.020435523147138823,0.02067201891349272,0.053567670122136035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4122951185297193,0.27975798282147935,0.04233461284380265,0.030653284720708236,0.03100802837023908,0.010583653210950663,0.03175095963285199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27975798282147935,0.009991356529338549,0.04233461284380265,0.05423909203458797,0.021427068048854414,0.0,0.0,0.0,0.0,0.0
note_0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2849393978756506,0.0,0.3376856827415744,0.0,0.0,0.0,0.3376856827415744,0.217983361028877,0.27247920128609626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2506808651832086,0.0,0.0,0.0,0.0,0.0,0.42577759997850684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3487733776462032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3817316413600406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2397816971317647,0.0,0.0,0.0
note_0007,0.0,0.0,0.0,0.42919270570728085,0.0,0.4096839463569499,0.19508759350330945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19508759350330945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33755467481122686,0.033649196826691964,0.034053830689954996,0.016824598413345982,0.06651403046457113,0.034053830689954996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24111048200801924,0.053026560839867606,0.06810766137990999,0.0,0.034053830689954996,0.3857767712128307,0.05170760036545244,0.017026915344977498,0.0493148134752716,0.0,0.017235866788484145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2731226309046333,0.24111048200801924,0.034053830689954996,0.016438271158423865,0.03325701523228557,0.017026915344977498,0.034053830689954996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28933257840962306,0.016074032133867946,0.017026915344977498,0.052355707999152304,0.06894346715393658,0.0,0.0,0.0,0.0,0.0
note_0008,0.24844531600326636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19189757781780153,0.0,0.0,0.0,0.0,0.04517187563695752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27718539018126886,0.0,0.02258593781847876,0.04689260431075117,0.0,0.1705756247269347,0.0,0.02258593781847876,0.02180511047980106,0.02205745617588244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3935445068978506,0.0,0.1705756247269347,0.0,0.02180511047980106,0.02205745617588244,0.0,0.04517187563695752,0.0,0.0,0.35789151132511077,0.019249944460186803,0.056147688511985185,0.0,0.300945799392474,0.35399460131792654,0.07627261406818067,0.03092562502563924,0.0,0.0,0.0,0.0,0.23099933352224164,0.0,0.0,0.2258593781847876,0.0,0.29850734327213574,0.021321953090866836,0.0,0.02314967687634415,0.0,0.0,0.0,0.0,0.23149676876344152,0.0
note_0009,0.1720085093755143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20311666964363334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.343735902473841,0.0,0.0,0.0,0.0,0.0,0.37498462088055384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20311666964363334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2014877673774485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4964498074093757,0.06282962963383233,0.040724371165502614,0.0,0.27704568014399167,0.19256635379893827,0.051863570557083544,0.0,0.0,0.3281115432704846,0.0,0.0,0.2199037037184132,0.033342794300077125,0.0,0.20886747567026734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13852284007199583,0.0
note_0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3206968783130902,0.0,0.0,0.0,0.0,0.0,0.0,0.274428553756181,0.274428553756181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3028177144895791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2924379951085781,0.0,0.0,0.0,0.0,0.42241043737905726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18926107155598693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3682552530996909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3028177144895791,0.0,0.0,0.3574242162438177
