note_id,publish_time,quality_score,fields,content_type,popularity
note_0001,2025-10-24 13:05:12.916863,0.368268406615292,"['蛋白质结构预测', '机器学习']",最新论文,0.21647998318705766
note_0002,2022-03-18 13:05:12.916987,0.56218505028156,['蛋白质结构预测'],最新论文,0.28676530059714306
note_0003,2025-05-28 13:05:12.917064,0.6417488722868839,['蛋白质-配体相互作用'],经典方法,0.3510503651110411
note_0004,2026-03-09 13:05:12.917134,0.6559450799745928,"['机器学习', '深度学习']",综述文章,0.6104759182997476
note_0005,2025-07-19 13:05:12.917221,0.4964091982059473,['分子动力学'],技术教程,0.27605446124366606
note_0006,2023-06-10 13:05:12.917298,0.2408640844934988,['酶催化'],实验技巧,0.12391301030936698
note_0007,2024-12-26 13:05:12.917362,0.7041100106762306,['分子动力学'],技术教程,0.3744046599100787
note_0008,2025-10-20 13:05:12.917424,0.32793093022321,"['蛋白质结构预测', '机器学习']",技术教程,0.1921011103335163
note_0009,2025-11-20 13:05:12.917488,0.7237448551265501,"['蛋白质结构预测', '机器学习']",算法解读,0.4376736262092824
note_0010,2025-05-16 13:05:12.917551,0.5960969638065609,['酶催化'],经典方法,0.32505800170534555
note_0011,2025-05-05 13:05:12.917628,0.5753790211631175,['酶催化'],应用案例,0.31285382130716904
note_0012,2023-07-03 13:05:12.917688,0.8962314913425016,['蛋白质-配体相互作用'],经典方法,0.46136572907223106
note_0013,2025-05-16 13:05:12.917751,0.3622007918429329,['蛋白质-配体相互作用'],综述文章,0.19747353427706166
note_0014,2022-10-31 13:05:12.917814,0.8106276724970612,['蛋白质结构预测'],最新论文,0.4149647456889059
note_0015,2025-08-10 13:05:12.917877,0.8788455793499869,['酶催化'],应用案例,0.49316622809065813
note_0016,2024-06-22 13:05:12.917937,0.888768476965741,['AlphaFold'],技术教程,0.4645988327019058
note_0017,2025-11-09 13:05:12.917997,0.8739331884550636,"['蛋白质-配体相互作用', '酶催化']",技术教程,0.5219718585153715
note_0018,2026-03-11 13:05:12.918057,0.7783312659332009,['机器学习'],最新论文,0.7454152100224085
note_0019,2025-11-15 13:05:12.918120,0.5145092097640571,['蛋白质结构预测'],技术教程,0.3093689509775796
note_0020,2024-11-23 13:05:12.918182,0.8492535453798231,"['酶催化', '蛋白质折叠']",应用案例,0.44984475608883917
note_0021,2023-09-02 13:05:12.918260,0.45570372472501475,['蛋白质折叠'],经典方法,0.2350225118341125
note_0022,2024-08-19 13:05:12.918319,0.5665215173896765,['蛋白质结构预测'],算法解读,0.2973904036688647
note_0023,2025-02-01 13:05:12.918378,0.5859428611834739,"['深度学习', '酶催化']",综述文章,0.313175879619363
